tag_name,bnb_scores_mean,svc_scores_mean,rfc_scores_mean,gbc_scores_mean
codeigniter,0.54056127794703157,0.66832298136645962,0.079938802830369096,0.42788445199660147
spring,0.68176411511784829,0.77703911300731321,0.3708458300315301,0.60455840455840459
sqlalchemy,0.75511677722498616,0.90389952839880972,0.50514778182659492,0.76624569460390368
oauth,0.67199459607120338,0.82008907711535028,0.39582499090511747,0.68201526717557248
mysql,0.4733602507134072,0.39611303755075422,0.10699288227378116,0.35508046026270113
oracle,0.59089301503094604,0.65301875711458002,0.31870925809103251,0.55427689594356255
postgresql,0.61371487745500042,0.6495222953838965,0.18702280212601616,0.46944041283663923
sqlite,0.60902777777777761,0.70909318384528153,0.38137901734392959,0.63210903513092009
ubuntu,0.59173469466862028,0.57029898690387937,0.28218202295222122,0.52738014332819139
debian,0.69877087446190045,0.74261741309796225,0.31009070294784585,0.60284745762711867
centos,0.56444247735095143,0.56533690340960308,0.2238288027761712,0.48317927170868352
osx,0.4699196153557208,0.40236178207192697,0.15656587421293305,0.32906218091826317
windows-7,0.46855017254588011,0.45351727566492667,0.18441000694369189,0.41497435762449392
python,0.40787043270807649,0.37318536726431462,0.092793481028775146,0.28269713519918604
java,0.18538328805478285,0.16013016418959425,0.032226466842981687,0.099507168458781367
c++,0.18017249368087709,0.23520463720630527,0.00823045267489712,0.043405537374681842
c,0.24462376818050344,0.17274003749082331,0.01646090534979424,0.080128854596939691
ruby,0.45121777377330319,0.38774231797487607,0.13164200336875861,0.30225798474386045
haskell,0.67692661003813692,0.73517689264084618,0.29417309995159108,0.60331251730096425
